,Type of Abuse,Month,No of complaints
235,Violent Behavior,December,1
236,No Birth Certificates,December,2
237,Refuse to go to school,December,0
238,Police Assult and detention,December,0
239,,December,150
240,Child Marriages,Total,39
241,Cyber Bulling (threatening using nude photos),Total,150
242,Domestic Violence,Total,46
243,other (specify),Total,691
244,Abortion,Total,3
245,Attempt to commit suicide,Total,25
246,Need Counseling/psycho-social support,Total,454
247,Access for children,Total,2
248,Drug Abuse,Total,125
249,"Inability to send to school due to financial or other
reasons",Total,10
250,Migration Leaving Behind Bellow 5 Year old Children,Total,3
251,Misbehavior,Total,26
252,online education issues,Total,1
253,Request Educational support,Total,13
254,Teenage Pregnancy,Total,53
255,Violent Behavior,Total,27
256,No Birth Certificates,Total,37
257,Refuse to go to school,Total,6
258,Police Assult and detention,Total,3
259,,Total,1714
